के,39321
में,30084
है,29032
की,22684
से,17821
को,17629
और,15873
का,15741
हैं,14186
इस,10070
भी,9943
पर,8332
एक,8250
लिए,8233
ने,7482
था,6017
ही,5636
किया,5454
यह,5279
कर,5186
कि,4632
नहीं,4385
अपने,4008
साथ,4008
गया,3935
हो,3925
ये,3564
करने,3539
बाद,3513
तो,3329
जाता,3322
बहुत,3301
थी,3209
भारत,3090
इसके,3083
थे,2930
जो,2762
समय,2553
दिया,2505
तरह,2472
होता,2402
तक,2307
द्वारा,2296
कई,2244
अपनी,2137
कुछ,2124
नाम,2086
किसी,2024
देश,1999
आप,1980
सभी,1961
हुए,1868
जा,1867
करते,1865
योजना,1851
साल,1837
फिल्म,1828
रूप,1760
दिन,1735
पहले,1708
करना,1706
होने,1692
वे,1680
हुआ,1657
उन्होंने,1651
उनके,1630
या,1623
लेकिन,1617
वो,1582
सबसे,1569
उन्हें,1564
गई,1549
वाले,1536
लोगों,1526
सकते,1515
सरकार,1513
कोई,1484
रहे,1461
मे,1425
जी,1423
जब,1422
कहा,1389
इसे,1384
रहा,1376
होती,1374
इन,1360
सकता,1339
अपना,1333
काम,1322
जीवन,1318
आपको,1305
अब,1303
कारण,1289
एवं,1282
दी,1281
बार,1228
दीपावली,1222
जाती,1214
कम,1189
यहाँ,1179
होगा,1173
बात,1154
शुरू,1151
उस,1145
गए,1142
भारतीय,1140
टीम,1131
फिर,1115
हर,1083
हुई,1077
उनकी,1073
वह,1063
लिया,1062
घर,1048
अधिक,1041
रही,1028
बारे,1024
जाने,1018
लोग,1017
अगर,1004
प्राप्त,1004
इनके,969
करें,952
वर्ष,951
उसे,943
जाते,938
होते,938
आज,934
पास,927
करता,925
हम,906
दोनों,902
इसमें,900
वाली,897
कभी,892
सन,889
जिसके,886
तब,851
जैसे,851
उसके,827
मैच,823
जानकारी,822
इसका,816
अलग,809
परिवार,806
ज्यादा,793
अलावा,792
क्या,764
इनकी,764
चाहिए,763
दौरान,726
ऐसे,721
इससे,721
सिंह,718
इसी,716
प्रकार,713
हिंदी,711
जिससे,710
व,709
अनुसार,704
दो,702
अन्य,696
पूरी,695
काफी,694
ऐसा,693
बीच,691
राज्य,691
पसंद,688
ना,683
कार्य,679
उनका,674
बनाया,670
व्यक्ति,668
ले,663
एवम,656
तथा,646
शामिल,644
आपके,642
बड़े,642
वेबसाइट,641
इन्होने,640
बनाने,639
आने,630
इसलिए,628
आदि,622
जिसे,620
मुख्य,614
इन्हें,614
दे,613
बैंक,612
देने,610
लेकर,610
शिक्षा,607
पिता,606
जन्म,604
लाभ,602
कहानी,596
वहीं,593
कार्ड,584
जगह,584
प्रधानमंत्री,584
बना,582
पानी,575
हमारे,571
किये,570
दिल्ली,568
न,566
उपयोग,564
आधार,559
यदि,557
वजह,553
कैसे,548
गये,546
पूजा,544
दुनिया,537
जोकि,532
पहली,530
आ,530
ध्यान,528
जिस,526
आर्टिकल,523
खेल,519
युद्ध,518
बड़ी,518
होना,516
बच्चों,516
बन,515
लगा,512
करती,510
शो,508
क्रिकेट,505
होगी,505
उन,505
सामने,504
अच्छे,504
इसकी,502
दिवस,497
अच्छा,492
मदद,491
करके,487
रन,485
सीरियल,484
करे,484
राजा,483
मोदी,481
मंदिर,479
शरीर,478
चुनाव,478
पूरा,475
दिए,475
तहत,475
जायेगा,470
स्थान,470
पार्टी,469
इन्होंने,467
इतिहास,467
भगवान,466
फ़िल्म,464
क्षेत्र,464
विकास,461
शादी,458
रखा,454
विश्व,454
जीत,453
केवल,445
छोटे,444
मिल,444
जिसमें,441
जिसमे,439
जाना,437
इस्तेमाल,436
कप,434
तरफ,433
मिला,433
लेने,432
सकती,432
खिलाफ,430
बड़ा,430
लगभग,430
दूर,429
शहर,428
सफल,428
आगे,424
बनी,424
सही,420
सहायता,414
माता,411
अभी,411
उसकी,410
जहाँ,409
सके,408
विशेष,405
महत्व,404
जिसका,404
गयी,403
मनाया,402
लें,400
प्रयोग,396
उम्र,391
चलते,390
विभिन्न,388
मैं,387
लिखती,387
देते,386
आई,385
अंतर्गत,384
मृत्यु,384
नीचे,382
महत्वपूर्ण,382
करियर,381
स्कूल,381
भाषा,381
पाकिस्तान,380
रहने,377
चाहते,376
निर्माण,376
राष्ट्रीय,375
पता,373
अच्छी,370
वाला,367
बच्चे,363
जाएगी,363
परिचय,362
सब,362
हिस्सा,360
माँ,358
इनका,356
देख,355
माना,355
दें,353
आवश्यक,352
महीने,351
कंपनी,348
वहां,348
उसका,347
लिखने,346
शुरुआत,344
देवी,343
खुद,341
इंडिया,341
रहते,340
तीन,340
सी,339
सुरक्षा,339
हासिल,339
जाएगा,337
देना,337
हमेशा,336
सेना,336
खान,335
भर,334
इनको,334
टेस्ट,333
विवाह,333
आसानी,332
किरदार,331
देता,328
तैयार,326
सिर्फ,325
मौजूद,324
ताकि,323
कुल,323
किन्तु,321
बताया,321
गाँधी,321
प्रति,320
कहते,320
सर्च,319
भाई,318
ऐसी,316
वक्त,316
लिखना,315
देखा,315
कपूर,314
नंबर,314
लाख,313
अवार्ड,312
ओर,311
खिलाड़ी,310
कुकिंग,310
फॉर्म,308
टीवी,308
मन,307
पहला,307
विकेट,306
प्रक्रिया,306
तौर,305
नही,305
क्योंकि,305
नई,304
महिला,304
बिना,302
खाने,300
आवेदन,300
माध्यम,300
धर्म,299
देशों,299
सम्मान,296
पत्नी,295
लगे,294
समस्या,293
रूचि,293
आता,292
अकाउंट,292
ली,292
मुंबई,290
रहता,290
भाग,290
दिनों,289
आया,289
फैसला,288
लगता,288
हाथ,287
करोड़,287
बाहर,287
हमें,285
राशि,284
जनता,282
इंजन,280
कोशिश,280
प्रदर्शन,280
पीछे,279
जबकि,279
दुसरे,278
केंद्र,278
मोबाइल,277
परंतु,276
प्रदान,276
किए,276
धोनी,275
विषयों,275
आम,275
क्लिक,274
सारे,274
साईट,274
फिल्मों,273
मात्रा,273
बिल,272
सीजन,272
दूसरी,272
इतना,272
प्यार,270
पोस्ट,270
रखने,270
याद,270
मुझे,270
कॉलेज,269
अतः,268
जरुरी,268
बैठे,268
दिल,267
मिली,266
बाल,265
पृथ्वी,265
लिये,264
बस,264
स्तर,262
ऑफ़,261
उसी,261
दर्द,260
वर्ल्ड,259
पूर्व,258
अंदर,256
यही,256
उपलब्ध,255
प्रयासों,255
जाकर,254
देखने,253
हूँ,253
डांस,252
उद्देश्य,252
भूमिका,252
संख्या,252
हालांकि,252
ऑनलाइन,251
पत्र,251
बनाई,250
सुविधा,249
जमा,249
आते,249
मध्यप्रदेश,248
पूरे,246
चार,245
तरीके,245
तेल,244
जुड़े,244
शेयर,241
विवाद,240
अग्रवाल,240
स्थित,239
लोगो,239
डेवलपमेंट,239
डिजाईन,238
एक्सपर्ट,238
जाए,238
मिलने,237
शर्मा,236
बेटी,236
छोड़,236
आयोजन,236
ऋण,235
आपका,235
तय,235
कर्णिका,235
नए,234
दूसरे,234
श्री,233
बने,233
पद,233
मिलता,232
विषय,232
त्यौहार,231
होंगे,231
एडिटर,231
लगातार,230
आये,230
सफलता,229
जाये,229
प्रदेश,229
पुरस्कार,228
पड़ा,227
लेते,227
आपकी,226
अंकिता,226
आती,225
सवाल,225
रख,225
आईपीएल,224
रूपये,224
ब्रिटिश,224
ज्यादातर,224
बेहतर,224
कला,223
जल्द,223
कंप्यूटर,222
पढ़ें,221
लागू,221
रंग,220
शौक,220
नया,220
द,220
आवश्यकता,220
बल्कि,220
बनने,219
वहाँ,218
चुके,218
सेवन,217
स्कीम,217
कप्तान,216
कोहली,216
वन,216
लगी,216
रखते,216
आयोजित,215
कुमार,214
कौन,213
चल,213
सीरीज,212
एडमिन,212
बढ़,212
जिन्होंने,211
कोर्ट,211
उनको,211
पहचान,211
ऑप्टिमाइज़,211
विशेषग्य,211
राम,210
बचपन,210
शिव,209
मंत्री,209
विजय,209
उनसे,208
जैसी,207
मिलेगा,207
जहां,207
जारी,207
चीन,205
सारी,205
यहां,205
हिन्दू,204
लड़की,204
केस,203
देती,203
सरकारी,203
फेमस,203
क्यों,203
लिखा,202
नियम,202
ऑफ,202
महान,202
होकर,202
ऊपर,201
फायदे,201
दूसरा,201
स्टार,200
बनाये,200
बनाए,200
रहती,200
राष्ट्रपति,199
वही,198
मेरी,198
ज्ञान,197
विकल्प,197
खाते,197
कांग्रेस,197
मिलती,197
पैसे,196
अथवा,196
हार,196
दिखाई,195
पाया,195
स्वयं,194
प्रसिद्ध,194
विधि,193
जयंती,193
जिसकी,193
महिलाओं,192
रह,192
कमी,192
सदस्य,191
नजर,191
सूर्य,191
घोषणा,191
राहुल,191
मिले,191
पारी,190
अभिनय,190
उत्तर,190
उससे,189
व्रत,188
स्वास्थ्य,188
वापस,188
लोकसभा,188
रात,187
पुरे,187
वर्णन,186
हालाँकि,186
योगदान,186
स्वतंत्रता,186
विराट,185
गेंद,185
गूगल,185
रिकॉर्ड,185
समझ,185
मतलब,185
परेशानी,185
देखते,184
वैसे,184
नुकसान,184
योग,183
ठीक,183
युवा,183
स्थिति,183
बॉलीवुड,182
स्थापना,182
जून,182
कदम,182
पाए,182
मेरे,182
रोहित,181
जवाब,181
चला,181
बंद,181
मिलकर,181
अमेरिका,180
पढाई,180
अंत,180
गलत,180
खाना,180
किस,180
उसने,179
जिनको,179
ऑस्ट्रेलिया,178
जानने,178
कश्मीर,178
जुड़ी,178
डाल,177
आसान,177
पड़ता,177
नेशनल,177
विष्णु,176
मनुष्य,175
सजा,175
आर्थिक,175
सामना,174
कौशल,173
बिजली,173
समाज,173
ग्राहक,173
दक्षिण,173
कार्यक्रम,173
नदी,172
प्रभाव,172
करेंगे,172
किसानों,171
अधिकार,171
भुगतान,170
पुत्र,170
प्रेम,170
तरीका,170
वर्ग,170
घुमने,170
ग्रेजुएट,170
कब,170
इंदिरा,170
घटना,170
इच्छा,169
अफेयर्स,169
चुकी,169
परीक्षा,168
ट्रेन,168
जनवरी,167
छोटी,167
लगाया,166
प्रमुख,166
फोन,166
लाल,166
समान,166
मौका,166
वीं,166
पिछले,165
मार्च,165
डे,165
बीमारी,165
हजार,164
क्यूंकि,164
कहना,164
कही,164
मीडिया,164
सम्बंधित,163
बाजार,163
करंट,163
प्रोफेशन,163
साबित,163
वी,163
टी,163
ओवर,162
जीता,162
सहायक,162
बातें,162
खास,162
कानून,161
कथा,160
परन्तु,160
किसान,159
आय,159
नामक,159
जरिए,159
मैचों,158
चाहता,158
सूची,158
तेज,158
निम्न,158
गुजरात,158
मुख्यमंत्री,158
वीडियो,157
फायदा,157
जुलाई,157
पति,156
पुलिस,156
चैनल,156
निर्णय,156
विभूति,156
फल,155
मोटिवेशनल,155
जरूरत,155
भविष्य,155
शक्ति,155
दर्ज,155
खेला,154
मजबूत,154
सीमा,154
दिशा,154
ऋषि,153
माह,153
चयन,153
जिनके,153
अंतिम,152
सा,152
चेहरे,152
सुबह,152
रोज,152
आयु,152
जानते,151
अभिनेता,151
कृष्ण,151
बनाकर,150
पेज,150
आराम,150
रखना,150
जल्दी,150
लक्ष्य,150
एकता,149
पेट,149
लड़ाई,149
रस,149
लग,149
बदल,149
प्रथम,149
पंजाब,149
जेल,148
मैदान,148
प्रमाण,148
पी,148
कहीं,148
एप्लीकेशन,147
रक्त,147
गाँव,147
नागरिक,147
रक्षा,147
इंग्लैंड,146
स्थापित,146
गुरु,146
मैंने,146
लिंक,146
लेना,146
अगले,146
राजनीति,145
यात्रा,145
सेवा,145
रखे,145
स्कोर,144
राय,144
जिन्हें,144
जाति,144
बालों,143
विरोध,143
इंटरनेट,143
ऑफिस,143
हमारी,143
अर्थात,143
सचिन,143
हैदराबाद,142
बोर्ड,142
लिखी,142
विज्ञान,142
यानि,141
पेंशन,141
आरोप,141
वालों,141
क्षमता,141
दिखाया,141
रनों,140
बता,140
घंटे,140
चाहे,140
दर,140
मई,140
प्रवेश,139
सुरक्षित,139
प्रोग्राम,139
अगस्त,139
जिओ,138
ए,138
प्रत्येक,138
हाल,138
शानदार,138
लिस्ट,137
चाय,136
खत्म,136
मेहनत,136
विचार,136
रखें,136
राज्यों,136
बहन,135
बच्चन,135
रखी,135
अतिरिक्त,135
इंडियन,135
उच्च,135
वर्तमान,135
खुश,135
राज,134
अक्टूबर,134
व्यापार,134
अभिनेत्री,134
विटामिन,134
एंड,134
देकर,134
मांग,134
प्रतिशत,134
लोन,133
मुस्लिम,133
डाउनलोड,133
आधारित,133
आवेदक,133
सकें,133
सोच,133
बजट,133
उठा,133
राजस्थान,133
चले,133
महसूस,132
करीब,132
प्रयास,132
अंग्रेजी,131
दोस्त,131
मेरा,131
तैयारी,131
फरवरी,131
अप्रैल,131
पढ़ाई,130
दही,130
उसमें,130
जान,130
मौसम,130
मामले,130
पांच,130
वें,129
महाराज,129
करनी,129
डालें,129
अक्सर,129
रुपए,128
राजीव,128
बेहद,128
मिलाकर,128
उम्मीद,128
रूपए,128
ऊर्जा,127
अभियान,127
खेलने,126
ब्याज,126
हत्या,126
उसमे,126
पुनः,126
सालों,126
लगाने,126
छात्रों,126
निवेश,126
तत्व,125
निभाया,125
धार्मिक,125
आखिरी,125
विभाग,125
आए,125
अफ्रीका,124
डिग्री,124
जरुरत,124
जायेंगे,124
आदमी,124
गांधी,124
शाह,124
बीमा,123
मैडल,123
चीज,123
मान्यता,123
दान,123
जरुर,123
तभी,123
प्रतिभा,123
क्षेत्रों,123
बल्लेबाज,122
डेटा,122
जिनका,122
प्रसाद,122
सुंदर,122
छात्र,122
मानव,122
ई,122
दरअसल,122
हेमा,121
युवाओं,121
शासन,121
वैज्ञानिक,121
मध्य,121
बल्लेबाजी,120
आउट,120
फाइनल,120
बारिश,120
आजकल,120
लाइसेंस,120
शुरुवात,120
संबंध,119
लक्ष्मी,119
जरूरी,119
निकाल,119
जैसा,119
आकर,119
डॉक्टर,119
धन,119
शतक,118
भोजन,118
आवाज,118
चाहिये,118
चलता,118
बातों,118
पाने,118
सोशल,118
बेटे,117
रोल,117
संविधान,117
टाइम,117
आईडी,117
योग्य,117
मंत्रालय,117
कृषि,117
बनाना,117
तीसरे,117
मीटर,116
ग्रामीण,116
गोल्ड,116
रोग,116
चम्मच,116
गर्म,116
उपर,116
अध्यक्ष,116
मीना,115
बिग,115
अवधि,115
टिकट,115
चरण,115
चुना,115
प्रभावित,114
पालन,114
राहत,114
पेपर,114
नोट,114
चर्चा,114
मुश्किल,114
लाने,114
प्रशिक्षण,113
शिवाजी,113
गेंदबाज,113
मात्र,113
सितम्बर,113
जिंदगी,113
लगती,113
सम्मानित,113
संगीत,112
बदलाव,112
शब्द,112
त्वचा,112
चाहती,112
फ़ोन,112
धरती,112
आयोग,112
थीं,111
गणेश,111
सिटी,111
बेस्ट,111
तारीख,111
देर,111
पढ़े,111
गैस,111
गेम्स,110
देव,110
सन्,110
दूध,110
पासपोर्ट,110
करेगा,110
कह,110
पैसा,110
नेता,110
सकेंगे,109
साफ,109
पैन,109
बॉक्स,109
सेंटर,109
तुरंत,109
थीम,109
मनाने,109
पूर्ण,109
फैसले,109
कॉल,108
स्मार्ट,108
शांति,108
अनिवार्य,108
मुकाबले,108
घोषित,108
बावजूद,108
धारावाहिक,107
काफ़ी,107
प्रसारित,107
रिलीज़,107
हिसाब,107
हमने,107
हमारा,107
सलमान,107
परिवर्तन,106
इसको,106
मशीन,106
स्नान,105
मनाई,105
वचन,105
नियमित,105
बीज,105
रोबोट,105
जल,105
इलाज,105
दल,105
प्लान,104
कराया,104
राव,104
ग्रुप,104
बच्चो,104
जिनमे,104
विस्तार,104
फोटो,104
गरीब,104
सुधार,104
नरेंद्र,104
लोकपाल,103
गेंदबाजी,103
किताब,103
लांच,103
गुण,103
मूवी,103
खाता,103
विश्वास,103
डी,103
खिलाड़ियों,102
कोच,102
भगत,102
मिनट,102
देखना,102
स्टेट,102
पक्ष,102
सेट,102
चली,102
आपने,102
ड्राइविंग,102
जन,102
लड़कियों,102
जिनमें,102
कविता,102
अंग्रेजों,101
अक्षय,101
चलने,101
जिसने,101
पाते,101
मॉल,100
नागरिकता,100
ओबामा,100
डर,100
मार,100
तुम,100
वृद्धि,100
सामान्य,100
डॉ,100
प्रोटीन,100
उपाय,100
पुराने,100
बंगाल,100
चॉकलेट,99
बॉस,99
व्,99
गाने,99
परिणाम,99
ब्लॉग,99
शायरी,99
हरी,99
चीजों,99
बल,99
कंपनियों,99
पाई,99
जामुन,98
किलोमीटर,98
मिशन,98
हमला,98
पवित्र,98
निश्चित,98
आजादी,98
शहद,98
भेजा,98
पोर्टल,98
कीमत,98
रहें,98
निजी,98
व्यवस्था,98
जांच,98
जिन,98
सोनिया,98
दस्तावेज,97
संगठन,97
मौत,97
किले,97
अनुभव,97
लगते,97
सिस्टम,97
इन्सान,97
सामाजिक,97
भत्ता,96
हनुमान,96
महल,96
रानी,96
प्रेरित,96
नौकरी,96
धीरे,96
पा,96
हाई,96
एकादशी,95
कपिल,95
खेले,95
जया,95
संजय,95
कैंसर,95
अदरक,95
आस,95
आँखों,95
करेगी,95
नागरिकों,95
रखता,95
अनुमति,95
राजनीतिक,95
वाहन,94
इंटर्नशिप,94
डिजिटल,94
करण,94
भूमि,94
हुये,94
लाभार्थी,94
खड़े,94
तुलना,94
वेतन,93
ओलंपिक,93
कोर्स,93
घरेलू,93
लेता,93
पूजन,93
देखकर,93
असर,93
सब्सिडी,93
सीधे,93
समर्थन,93
है-,93
खोज,93
समाप्त,93
वजन,93
यूनिवर्सिटी,93
महाराष्ट्र,93
नेहरु,92
मान,92
जमीन,92
पड़,92
चेक,92
टैक्स,92
इतने,92
आदेश,92
प्रोजेक्ट,92
तीनों,92
जीतने,92
उम्मीदवार,92
गोल,91
तनाव,91
भरा,91
अनुपम,91
अनिल,91
मोहम्मद,91
तुलसी,91
शहरों,91
होनी,91
चुने,91
दौर,91
वोट,91
यानी,91
अनमोल,90
प्रस्ताव,90
कठिन,90
मिट्टी,90
संघर्ष,90
प्रश्न,90
इंसान,90
सलाह,90
गंगा,90
मानना,90
हल,90
राष्ट्र,90
इसरो,89
समूह,89
पदक,89
सभा,89
खराब,89
फेस,89
जाँच,89
उपचार,89
शासक,89
ग्रहण,89
प्रतियोगिता,89
बीजेपी,89
शमी,88
लीग,88
उन्होने,88
व्यक्तिगत,88
पंजीकरण,88
स्ट्राइक,88
खबर,88
कोलकाता,88
अंतरिक्ष,88
ख़त्म,88
रुपये,87
अंतर्राष्ट्रीय,87
खेलते,87
हिस्से,87
दत्त,87
पुणे,87
दिमाग,87
परेशान,87
अलग-अलग,87
आरक्षण,87
लिखे,87
छोटा,87
मनाते,87
वर्षों,87
तमिलनाडु,87
फायदेमंद,86
फुटबॉल,86
इंजीनियरिंग,86
अधिकारी,86
निर्देशक,86
दर्शकों,86
अर्थ,86
रू,85
