के,9591
में,7439
है,7059
की,6017
को,4416
से,4328
और,4288
हैं,3889
का,3736
भी,2486
पर,2276
ने,2179
कि,2102
एक,2031
इस,1841
लिए,1786
नहीं,1611
था,1419
ही,1394
कर,1260
हो,1216
किया,1152
यह,1123
तो,1045
गया,953
साथ,832
करने,815
ये,785
जो,769
बाद,758
भारत,751
थी,737
थे,705
जाता,688
तक,667
फिल्म,657
अपने,652
तरह,633
दिया,584
लेकिन,578
कुछ,578
रहे,577
वो,558
आप,555
इसके,544
जा,541
देश,534
रहा,518
किसी,500
सरकार,496
हुए,490
होता,489
कोई,487
कई,487
लोगों,482
कहा,471
बहुत,454
या,451
होने,439
नाम,438
वाले,437
बात,427
समय,425
उन्होंने,420
जब,420
रही,416
हुआ,415
गई,405
करते,401
अपनी,398
क्या,389
पहले,388
सकता,366
उस,365
हम,352
उनके,350
लोग,346
अब,339
वह,339
उन्हें,338
साल,333
सभी,333
गए,328
रूप,328
द्वारा,327
इन,326
काम,313
आज,289
वे,289
करें,284
फिर,283
सबसे,282
दी,280
कारण,273
जीवन,270
कम,268
एवं,267
लेकर,265
होगा,265
बारे,264
भारतीय,251
जाती,247
ऐसे,246
आपको,245
हर,244
होते,240
ऐसा,240
इसमें,239
होती,238
जाने,237
दिल्ली,236
सोने,235
उनकी,235
उसे,235
करता,232
बार,231
पुलिस,229
शुरू,229
वहीं,224
मोदी,222
ईरान,216
इसलिए,216
इसका,213
उसके,209
जैसे,205
न,203
क्योंकि,203
पास,201
बीच,199
चाहिए,197
अधिक,196
लिया,194
बनाने,191
पानी,189
अगर,189
प्रति,188
राज्य,188
उन,188
आने,187
योजना,185
काफी,184
कभी,183
दोनों,182
तब,182
व्यक्ति,182
दें,181
अपना,181
पूरी,180
दो,180
दौरान,180
जाते,179
यदि,177
जानकारी,177
इसी,176
शामिल,176
ना,175
घर,173
जाएगा,172
वजह,170
कोर्ट,169
रहने,169
करती,168
ज्यादा,167
आ,167
बताया,166
सकती,166
बीबीसी,166
लीटर,164
इससे,164
रुपये,162
होगी,162
हमारे,162
दिवस,160
उपयोग,158
यहां,157
क्षेत्र,156
इस्तेमाल,154
विरोध,154
किए,154
बड़ी,153
पता,153
हमें,153
उनका,151
मैं,150
वहां,150
यहाँ,149
ध्यान,148
सिंह,147
लगा,147
अनुसार,147
हिंदी,147
इतिहास,146
देने,146
अलग,144
मदद,144
जिसमें,143
जिस,140
ले,139
कार्य,139
कहानी,139
जिसके,139
कैसे,138
करके,138
शरीर,136
ऐसी,136
जनवरी,135
जी,134
आपके,134
नई,131
क्यों,131
कंपनी,131
दे,130
बनाया,129
मौजूद,129
हालांकि,128
अन्य,128
ओर,128
प्रकार,127
जारी,126
वाला,126
बना,126
आर्टिकल,126
अलावा,126
पेट्रोल,124
बन,124
वर्ष,124
युद्ध,123
तैयार,123
जाए,122
अमरीका,121
विमान,121
सके,121
सामने,121
केवल,121
पाकिस्तान,120
न्यूज़,120
तेल,119
बाहर,119
पूरे,119
रखा,118
बड़ा,118
खान,116
आगे,116
पूरा,116
पसंद,116
पहली,115
कहते,115
रंग,115
चाहते,114
वनकॉइन,113
दूसरे,113
कीमत,113
जेएनयू,112
मिनिचिलो,111
छात्रों,111
सुप्रीम,111
तौर,111
जाना,111
तीन,110
जिससे,110
मन,110
इसकी,110
वेबसाइट,109
डीजल,108
लें,108
दुनिया,108
ग्रहण,107
मामले,107
यही,107
स्थिति,107
अभी,107
कोशिश,107
स्थान,106
जहां,106
जगह,106
प्राप्त,105
देशों,105
मुख्य,104
रुपए,104
अच्छे,104
जिसे,104
बड़े,104
संस्कृत,103
रुजा,102
लगभग,102
आया,102
हमारी,102
दिए,102
आई,101
सब,101
विभिन्न,101
आदि,101
पीछे,99
परिवार,99
कश्मीर,98
पहचान,98
सवाल,98
पिछले,97
नए,97
रहते,97
थीं,96
पार्टी,96
ताकि,96
जेल,95
मुझे,95
दीपावली,95
प्रदर्शन,95
विशेष,95
विकास,94
बल्कि,94
रह,94
त्वचा,93
महत्वपूर्ण,93
सेना,92
जनता,92
टीम,92
लगता,92
मिल,92
उसकी,92
राष्ट्रमंडल,91
राष्ट्रीय,91
गांधीजी,91
भाव,91
सामग्री,91
होना,90
रेट,89
शिक्षा,89
माना,89
क़ानून,88
सेवन,88
बेकिंग,88
लगे,88
आधार,88
चंद्र,87
सोडा,87
पूर्व,87
मंदिर,86
देखा,86
सोना,85
चंद्रमा,85
उसका,85
नागरिकता,84
प्रधानमंत्री,84
शुरुआत,84
मिला,84
भाषा,84
शहर,84
दिनों,83
चल,83
रखने,82
व,82
जांच,81
चंद्रयान-,81
बैंक,81
बता,81
केंद्र,81
महीने,81
लाभ,81
जुड़े,81
देते,81
समस्या,81
इतना,80
खाने,80
सही,80
नजर,79
करेंगे,79
सी,79
बेहतर,79
अमरीकी,78
ली,78
हिंसा,78
जनगणना,77
प्रयोग,77
आपकी,77
स्थित,77
गयी,77
बढ़,77
भर,77
डाल,76
बेहद,76
जिसका,76
रिपोर्ट,76
पैसे,75
आए,75
चुनाव,75
दर्ज,75
महिलाओं,75
मैंने,75
कहना,75
जोकि,74
निर्माण,74
तथा,74
अंदर,74
आवश्यक,74
करोड़,73
अच्छा,73
तरफ,73
कहती,73
भगवान,73
समाज,73
धर्म,72
जबकि,72
चुके,72
लिये,72
जवाब,72
सीबीआई,71
स्वास्थ्य,71
तहत,71
संशोधन,71
नुकसान,71
दिखाई,71
सलमान,71
कौन,71
बच्चों,71
मनाया,70
लिखा,70
दिसंबर,70
मिलने,70
दीपिका,70
सिर्फ,70
देख,70
मीडिया,69
होंगे,69
वक्त,69
सजा,68
ख़िलाफ़,68
सारे,68
अपडेट,68
मेरे,68
उसने,68
रामानुजन,67
अनारकली,67
शिक्षक,67
विश्व,67
आम,67
रहता,67
मात्रा,67
हाथ,67
राजा,67
हिस्सा,67
आवश्यकता,67
अंतर्गत,67
अलसी,66
डॉक्टर,66
सप्ताह,66
किये,66
दूर,66
कहीं,66
नया,66
निवेश,65
चम्मच,65
बनाए,65
मिली,65
नीचे,65
हमले,64
मंत्री,64
किरदार,64
अच्छी,64
प्रत्येक,64
गये,63
बाजार,63
तय,63
सम्मान,63
महत्व,63
छात्र,62
इसराइल,62
तेनाली,62
मांग,62
कमी,62
कुमार,62
पड़,62
देता,62
वायरस,61
हत्या,61
संविधान,61
सुरक्षा,61
उसी,61
स्टार,61
प्रक्रिया,61
लगातार,61
पेज,61
बंद,61
प्रभावित,61
आर्थिक,61
कियारा,60
ज़्यादा,60
साफ़,60
हमला,60
प्रभाव,60
देना,60
रात,60
याद,60
सलीम,59
बीज,59
ताज़ा,59
पाने,59
ठीक,59
सरकारी,59
शायद,59
पाया,59
उससे,59
विषय,59
किस,59
स्मार्टफोन,58
रिलीज़,58
देखने,58
गांधी,58
फेसबुक,58
संगठन,58
खुद,58
मतलब,58
प्रमुख,58
बिना,58
इंडिया,57
लगाने,57
केस,57
राजनीति,57
जाएगी,57
लगी,57
भाग,57
लग,57
दूसरी,57
कास्ट,56
आडवाणी,56
दाम,56
डेट,56
लाख,56
चुकी,56
महिला,56
समझ,56
बस,56
स्तर,56
सुलेमानी,55
मिसाइल,55
लेने,55
चला,55
संख्या,55
मुताबिक,55
जहाँ,55
उसमें,55
पाए,54
तेजी,54
फोन,54
सहायता,54
विचार,54
राशि,54
चलते,54
छोटे,54
उद्देश्य,54
आता,54
जन्म,54
आपका,54
ख़बरों,54
वीडियो,54
रहती,54
कार्यक्रम,54
आर्मी,53
सन,53
हमेशा,53
मध्य,53
पांच,53
जैसी,53
समर्थन,53
तनाव,53
जानने,53
प्रेम,52
तत्व,52
जीत,52
हमने,52
देती,52
छोड़,52
भोजन,52
उधम,51
पृथ्वी,51
बालों,51
मिनट,51
घटना,51
दल,51
खाना,51
लाइक,51
पाएं,51
ब्रेकिंग,51
उनको,51
जिन्होंने,51
पैदा,51
वर्षों,51
वही,51
नंबर,51
जिन,51
चंद्रयान,50
अवकाश,50
ब्लूबेरी,50
पद,50
रख,50
हों,50
लगाया,50
चार,50
असर,50
हमारा,50
ऊपर,50
उपलब्ध,50
यानी,50
अंतरिक्ष,49
अनेक,49
उनसे,49
फल,49
चेहरे,49
बनाई,49
मौत,49
चुका,49
संबंध,49
मे,49
होकर,49
देश-दुनिया,49
खिलाफ,49
शादी,49
पक्ष,49
जिन्हें,49
क्लिक,49
केजरीवाल,48
नताशा,48
परंतु,48
बंदरगाह,48
इनके,48
ऑफ,48
राज्यों,48
रक्षा,48
आयोजन,48
जुड़ी,48
जानते,48
बयान,48
ज्ञान,48
ऑफ़,48
कब,48
आधारित,48
बजे,48
कुपोषण,47
फूड,47
जनरल,47
अमेरिका,47
लागू,47
सेंटर,47
उत्तर,47
हाल,47
वापस,47
भूमिका,47
परिचय,47
नौकरी,47
उम्मीद,47
सौंफ,46
टेस्ट,46
उम्र,46
घंटे,46
नागरिकों,46
जाएंगे,46
कांग्रेस,46
तानाजी,46
चीजों,46
लड़की,46
सफलता,46
लाल,46
चाबहार,45
बीजेपी,45
भविष्य,45
स्वाद,45
गृह,45
जैसा,45
संस्कृति,45
आंदोलन,45
अथवा,45
जियो,45
लॉन्च,45
रन,45
महाराष्ट्र,45
कप,45
पा,45
जाकर,45
कह,45
मेथी,44
आते,44
देर,44
फांसी,44
मुस्लिम,44
पड़ता,44
रखते,44
नीति,44
प्लान,44
पहुंच,44
अंकिता,44
दिल,44
बने,44
जिसकी,44
आश्रम,43
कृष्ण,43
कल्पना,43
मंडल,43
हजार,43
मामला,43
याचिका,43
कदम,43
आसानी,43
ग्राम,43
मार्च,43
बॉलीवुड,43
अधिकार,43
हासिल,43
अलग-अलग,43
डेलमोनिको,42
आरोप,42
व्रत,42
किन्तु,42
चटनी,42
पिता,42
बीमारी,42
अधिकारियों,42
द,42
सहायक,42
पोषक,42
चांदी,42
नियंत्रण,42
शाह,42
नेता,42
पहला,42
करीब,42
सफल,42
अनुभव,42
चाहता,42
सेहत,42
हिस्से,42
यात्रियों,41
घोषणा,41
एनपीआर,41
वालों,41
मंत्रालय,41
रावत,41
दूध,41
पड़ा,41
हिंदू,41
उच्च,41
सतह,41
कानून,41
कुल,41
मजबूत,41
अर्थ,41
सोशल,41
लिखना,41
बदल,41
लेते,41
जंक,40
बेटी,40
शाहीन,40
अधिकारी,40
भीम,40
कार्रवाई,40
सिर्फ़,40
देखते,40
सकें,40
प्रदेश,40
यूनिवर्सिटी,40
बावजूद,40
यात्री,40
खत्म,40
बच्चे,40
स्कूल,40
करे,40
तरीके,40
इनको,40
कैरेट,39
विकेट,39
विटामिन,39
ब्रिटेन,39
हूं,39
मिलाकर,39
धन,39
मिलता,39
अतः,38
राष्ट्रपति,38
माध्यम,38
सम्बंधित,38
लड़ाई,38
राजनीतिक,38
पूजा,38
मई,38
रहेगा,38
वर्ग,38
चर्चा,38
जेन,37
आदमी,37
वारंट,37
आग,37
सालों,37
गांव,37
श्री,37
साफ,37
दलित,37
तकनीक,37
बातें,37
तीनों,37
लिस्ट,37
युवा,37
जरूरी,37
सारी,37
सामान्य,37
पूछा,37
मुश्किल,37
गणित,36
डिटेंशन,36
एशिया,36
वर्तमान,36
बातों,36
रखना,36
वीं,36
क्षमता,36
दक्षिण,36
शक्ति,36
जिसमे,36
साईट,36
इतनी,36
विवेकानंद,35
पत्नी,35
जल्द,35
यात्रा,35
आती,35
असम,35
अंबेडकर,35
जान,35
रोकने,35
सदस्यों,35
चीन,35
दायर,35
चाहे,35
सुरक्षित,35
डर,35
नागरिक,35
टीवी,35
मृत्यु,35
तभी,35
आसान,35
पादुकोण,35
बदलाव,35
इंजन,35
चली,35
सच,35
जिनमें,35
सुविधा,35
निकल,35
मधुमक्खी,34
वैज्ञानिकों,34
शहरों,34
ईरानी,34
रजिस्टर,34
एनआरसी,34
रस,34
सैन्य,34
स्वतंत्रता,34
वक़्त,34
बनने,34
अमित,34
स्वयं,34
व्यवस्था,34
हिन्दू,34
हालात,34
नेताओं,34
इन्हें,34
मां,34
फैसला,34
विश्वास,34
प्यार,34
त्यौहार,34
डिजाईन,34
अहम,34
वैसे,34
विलियम्स,33
टेक्नोलॉजी,33
कीमतों,33
हरतालिका,33
आरोपी,33
गाय,33
कहां,33
डिजिटल,33
वजन,33
फायदे,33
बिपिन,33
काफ़ी,33
पत्र,33
स्थानीय,33
अंतिम,33
निजी,33
मामलों,33
सामना,33
दूसरा,33
स्पष्ट,33
बाल,33
फिल्मों,33
साबित,33
दशक,33
मैच,33
शुक्रवार,33
फीसदी,33
ज्यादातर,33
सोच,33
मानना,33
हूँ,33
मानसिक,33
एडमिन,33
